Layout.Nav.Register,用户注册
Category.MostRecent,Most recent:
Members.LogonFacebookButton,Login with Facebook
Members.LogonGoogleButton,Login with Google
Twitter.Error.EnabledButNotAddedKeys,You have enabled social logins but not added the Twitter id and secret key in the forum.config
Google.Error.EnabledButNotAddedKeys,You have enabled social logins but not added the Google id and secret key in the forum.config
Error.EmailIsBanned,The email address or domain you are trying to use is banned
Post.FilesUploaded,文件上传成功
Post.Attach,Attach
Post.Upload,附加文件
Post.UploadBannedFileExtension,文件类型不被支持
Post.UploadFileTooBig,上传的文件体积太大
File.SuccessfullyDeleted,File deleted
Members.MemberEmailAuthorisationNeeded,We have sent you a confirmation email - please click the confirmation link in your email to approve your account.
Members.MemberEmailAuthorisation.EmailBody,You have registered on {0} - In order to continue you must confirm your email address by clicking the link below. {1}
Members.MemberEmailAuthorisation.Subject,Email Confirmation
Members.NowApproved,Your account has now been approved - Thank you
Members.MemberEmailAuthorisationNeededMessage,Click the link in your confirmation email to approve your account.
Members.MemberEmailAuthorisationResend,Resend Confirmation Email
Members.MessageMe,Message Me
Confirmation.DeleteMembersPosts,Are you sure? This will delete all the members posts and topics!
Moderate.AwaitingModeration,Your post is currently awaiting moderation. Once approved it will appear on the site
Badges.AwardsPoints,Awards {0} points
Language.Change,选择语言
Post.Quote,引用
Members.Label.UploadNewAvatar,上传头像
Member.HasNewPrivateMessages,You have new unread Private messages
Badge.AuthorMarkAsSolution.Name,Your Question Solved
Badge.AuthorMarkAsSolution.Desc,This badge is awarded to a user when they mark another users post as the solution to their topic
Badge.UserVoteUp.Name,You've Given Your First Vote Up
Badge.UserVoteUp.Desc,This badge is awarded to users after they make their first vote up
Badge.PostMentionsUmbraco.Name,Umbraco Fan
Badge.PostMentionsUmbraco.Desc,This badge is awarded to a user who mentions Umbraco in their latest post
Badge.PosterVoteUp.Name,First Vote Up Received
Badge.PosterVoteUp.Desc,This badge is awarded to users after they receive their first vote up from another user
Badge.PosterMarkAsSolution.Name,Post Selected As Answer
Badge.PosterMarkAsSolution.Desc,This badge is awarded to a user when their post is marked as the solution to a topic
Badge.Padawan.Name,Padawan
Badge.Padawan.Desc,Had 10 or more posts successfully marked as an answer
Badge.OneThousandPoints.Name,Thousand Pointer
Badge.OneThousandPoints.Desc,This badge is awarded to users who have received 1000 points
Badge.MemberForAYear.Name,First Anniversary
Badge.MemberForAYear.Desc,This badge is awarded to a user after their first year anniversary
Badge.TheGrouch.Name,The Grouch
Badge.TheGrouch.Desc,This badge is awarded to users who have voted down other users posts 10 or more times
Badge.JediMaster.Name,Jedi Master
Badge.JediMaster.Desc,Had 50 or more posts successfully marked as an answer
Badge.Photogenic.Name,Photogenic
Badge.Photogenic.Desc,Little things like uploading a profile picture make the community a better place. Thanks!
Badge.FavouriteFirstPost.Name,First Favourite
Badge.FavouriteFirstPost.Desc,You have Favourited your first post
Badge.YourPostFavouritedTenTimes.Name,Recognised Post
Badge.YourPostFavouritedTenTimes.Desc,One or more of your posts have been Favourited by 10 or more people
Badge.YourPostFavourited.Name,Favourited Post
Badge.YourPostFavourited.Desc,You have one or more posts that have been Favourited by another member
Site.MvcForum,MvcForum
Layout.Nav.Utilities,Utilities
Side.Search.SearchFor,搜索...
Side.Search.Go,Go
Topic.IsSticky,Topic Is Sticky
Topic.IsSolved,Topic Is Solved
Topic.Category,类别
Topic.IsPoll,Poll
Topic.LastPost,Last Post
Topic.HotTopics,Hot Topics
Notifications.NoActiveMembers,当前无人在线
Post.LikedBy,Liked by
Post.Browse,浏览...
Post.AttachedFiles,附加文件
SubNav.Latest,最新信息
SubNav.Following,Following
SubNav.PostedIn,Posted In
SubNav.Favourites,My Favourites
Favourites.PageTitle,My Favourites
Favourites.NoMemberFavourites,You have not starred any posts
Following.PageTitle,Topics & Categories
Following.Categories,Categories you are following
SubscribedCats.NothingToShow,You are not following to any Categories
Following.Topics,Topics your are following
SubscribedTopics.NothingToShow,You are not following to any Topics
PostedIn.PageTitle,Topics & Posts you have posted in
Topic.Label.Tags,添加标签
Topic.Label.UploadFiles,上传文件
Search.Searching,搜索中
Search.InTopic,In Topic
Members.SrubAndBan,Scrub Member
Confirmation.SrubAndBan,Are you sure you want to do this? It will delete all their posts and then ban them
Admin,Admin
Members.SuccessfulSrub,All done
Post.Favourite,Favourite
Post.Favourited,Favourited
Members.NowBanned,Member is now banned
Members.NowUnBanned,Member is now NOT banned
PM.AboutToExceedInboxSizeBody,You are about to exceed your private message inbox allowance
PM.AboutToExceedInboxSizeSubject,Private Message Inbox Allowance
PM.NewPrivateMessage,New Private Message
PM.LastActivity,Last Activity
StopWord.Error,You have tried to enter a word or url that is not allowed on this site
Post.Permalink,静态连结
Members.Profile.LastOnline,最后上线
Members.UnableToGetEmailAddress,Unable to gain access to your email address - please check your permissions
Members.ResetPassword.Title,密码重置请求已发出
Members.ResetPassword.Text,An email has been sent with details on how to reset your password. 
Members.ResetPassword.EmailText,A request has been made to reset your password on {0}. To reset your password follow the link below. If you did not make this request then please ignore this email. No further action is required and your password will not be changed.
Members.ResetPassword.SuccessText,你的密码已成功修改.
Members.ResetPassword.InvalidToken,This request is either invalid or has expired. Please make a password reset request again.
Members.ResetPassword.Error,There was an error resetting your password. Please try again.
